status,approach,model_slug,device_profile,prompt_strategy,runs_expected,runs_completed,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,accuracy_mean,accuracy_std,latency_median_ms_mean,latency_median_ms_std,latency_p95_ms_mean,latency_p95_ms_std
completed,llm_http,aya-expanse-8b,gpu,one-shot,3,3,0.03633466106052676,0.02014313601089854,0.04011936339522546,0.017007053850440528,0.03801507904620585,0.018770499116740776,0.6890689821514713,0.011863376472801111,1074.8604541666666,252.7070852896431,2925.1616117333324,244.58788844396594
completed,llm_http,aya-expanse-8b,gpu,three-shot,3,3,0.05858809998431479,0.016629639906803485,0.09604332449160036,0.020573956978900316,0.07262667252965548,0.018278546233282334,0.6824312590448625,0.018773195563741286,1707.3278321666667,308.6588090352465,4638.734007816665,532.8655596455257
completed,llm_http,aya-expanse-8b,gpu,zero-shot,1,1,0.007087172218284904,,0.006631299734748011,,0.00685166152792052,,0.6934298118668596,,1687.2189250000001,,3509.253120349999,
completed,llm_http,gemma-3-12b-it,gpu,one-shot,3,3,0.2326327791276428,0.014357926751771994,0.23043766578249336,0.0037365476358039184,0.23144655555709504,0.008991968084143605,0.7597877472262422,0.005971732873748994,1218.6926451666668,34.52439920513163,4232.858964399999,318.4034618309212
completed,llm_http,gemma-3-12b-it,gpu,three-shot,3,3,0.37158727667351826,0.02574367887474728,0.3753315649867374,0.048479971566170094,0.3728614155288953,0.03345062147247171,0.7922431259044862,0.0062697389881813505,1388.1473596666667,212.78252104849122,4017.5458811999997,250.12974223459128
completed,llm_http,gemma-3-12b-it,gpu,zero-shot,1,1,0.07645968489341984,,0.054708222811671085,,0.06378044066486277,,0.7128798842257598,,640.5031939999999,,3639.8619820999993,
completed,llm_http,gemma-3-4b-it,gpu,one-shot,3,3,0.14079473696894143,0.03055107739440369,0.16125110521662245,0.0372790729966732,0.14749615669478608,0.02243657142219619,0.7087506029908346,0.028058797351552714,643.0675736666667,284.16769805593293,2056.522333133333,924.6316973784207
completed,llm_http,gemma-3-4b-it,gpu,three-shot,3,3,0.15475274209515363,0.05186037543180382,0.21043324491600354,0.04144739165104788,0.17755095617062586,0.04795997995144966,0.7091944042450555,0.01907398907904042,763.7346388333333,131.089456745982,2180.7539118999994,375.3185681945301
completed,llm_http,gemma-3-4b-it,gpu,zero-shot,1,1,0.11166833834837847,,0.11074270557029178,,0.1112035958048943,,0.7096382054992764,,599.6492685000001,,2571.401952949999,
completed,llm_http,phi-4-mini-instruct,gpu,one-shot,3,3,0.051500862385533176,0.012604252551058081,0.0695181255526083,0.014552391926483738,0.05836638129744685,0.011216642624688461,0.6731886155330439,0.02383799290900848,590.4274088333334,357.43173483390586,2689.7483263166664,360.1029708688101
