status,approach,model_slug,device_profile,runtime_device,runtime_dtype,gpu_name,prompt_strategy,seed,examples_evaluated,precision,recall,f1,accuracy,tp,fp,fn,successful_requests,failed_requests,valid_json_requests,schema_valid_requests,truncated_requests,parse_failures,rejected_prediction_reasons,finish_reasons,error_taxonomy,latency_mean_ms,latency_median_ms,latency_p90_ms,latency_p95_ms,latency_p99_ms,requests_per_second,scoring_protocol,latency_protocol
completed,llm_http,gemma-3-12b-it,gpu,cuda,,,three-shot,1771,1000,0.3418774966711052,0.34051724137931033,0.34119601328903654,0.7888277858176556,1027,1977,1989,1000,0,999,544,1,"{""invalid_json"": 1}","{""invalid_label"": 34, ""overlapping_prediction"": 1, ""text_mismatch"": 895}","{""length"": 1, ""stop"": 999}","{""boundary_and_label_error"": 292, ""boundary_error"": 278, ""label_error"": 115, ""missing_entity"": 1304, ""rejected_prediction"": 930, ""spurious_prediction"": 362}",1688.6657358160019,1296.7566769999999,3322.4681914000007,4051.9873372999996,5390.598546889999,0.5921835084293797,exact_token_span_v1,localhost_http_batch1_concurrency1_v1
completed,llm_http,gemma-3-12b-it,gpu,cuda,,,three-shot,2401,1000,0.387298747763864,0.4307029177718833,0.40784929356357924,0.799479015918958,1299,2055,1717,1000,0,1000,568,0,{},"{""invalid_label"": 26, ""overlapping_prediction"": 1, ""text_mismatch"": 721}","{""stop"": 1000}","{""boundary_and_label_error"": 353, ""boundary_error"": 236, ""label_error"": 155, ""missing_entity"": 973, ""rejected_prediction"": 748, ""spurious_prediction"": 563}",1840.7597015799993,1631.3577854999999,3583.0931380000006,4248.6701299999995,5662.127483109999,0.543253961471266,exact_token_span_v1,localhost_http_batch1_concurrency1_v1
completed,llm_http,gemma-3-12b-it,gpu,cuda,,,three-shot,42,1000,0.3855855855855856,0.3547745358090186,0.3695389397340701,0.7884225759768452,1070,1705,1946,1000,0,999,703,1,"{""invalid_json"": 1}","{""invalid_label"": 15, ""text_mismatch"": 492}","{""length"": 1, ""stop"": 999}","{""boundary_and_label_error"": 326, ""boundary_error"": 317, ""label_error"": 119, ""missing_entity"": 1184, ""rejected_prediction"": 507, ""spurious_prediction"": 436}",1574.0071325119984,1236.3276165000002,3102.0763979999997,3751.9801763,5350.432716619999,0.6353211363178985,exact_token_span_v1,localhost_http_batch1_concurrency1_v1
completed,llm_http,gemma-3-12b-it,gpu,cuda,,,zero-shot,fixed,1000,0.07645968489341984,0.054708222811671085,0.06378044066486277,0.7128798842257598,165,1993,2851,1000,0,1000,252,0,{},"{""invalid_label"": 16, ""out_of_range_indices"": 56, ""text_mismatch"": 1781}","{""stop"": 1000}","{""boundary_and_label_error"": 34, ""boundary_error"": 51, ""label_error"": 16, ""missing_entity"": 2750, ""rejected_prediction"": 1853, ""spurious_prediction"": 39}",1204.730153105999,640.5031939999999,2897.2601429,3639.8619820999993,5289.4956258600005,0.8300614020673676,exact_token_span_v1,localhost_http_batch1_concurrency1_v1
completed,llm_http,gemma-3-4b-it,gpu,cuda,,,one-shot,1771,1000,0.11498530852105779,0.19462864721485412,0.1445634774042606,0.6771056439942112,587,4518,2429,1000,0,944,420,56,"{""invalid_json"": 56}","{""invalid_label"": 81, ""missing_fields"": 2, ""out_of_range_indices"": 87, ""text_mismatch"": 1361}","{""length"": 56, ""stop"": 944}","{""boundary_and_label_error"": 384, ""boundary_error"": 409, ""label_error"": 253, ""missing_entity"": 1383, ""rejected_prediction"": 1531, ""spurious_prediction"": 1941}",1192.0873478869996,971.1785950000001,2472.1072984000007,3120.9759364,3128.0854069699994,0.8388647038092648,exact_token_span_v1,localhost_http_batch1_concurrency1_v1
completed,llm_http,gemma-3-4b-it,gpu,cuda,,,one-shot,2401,1000,0.1328722242446305,0.12102122015915119,0.12667013708138122,0.7185528219971057,365,2382,2651,1000,0,997,274,3,"{""invalid_json"": 3}","{""invalid_label"": 26, ""out_of_range_indices"": 58, ""text_mismatch"": 1660}","{""length"": 3, ""stop"": 997}","{""boundary_and_label_error"": 130, ""boundary_error"": 153, ""label_error"": 99, ""missing_entity"": 2269, ""rejected_prediction"": 1744, ""spurious_prediction"": 256}",614.2419633659991,476.0711655,1178.4818165000001,1452.5482620999996,2177.5792026099994,1.6280229284890864,exact_token_span_v1,localhost_http_batch1_concurrency1_v1
completed,llm_http,gemma-3-4b-it,gpu,cuda,,,one-shot,42,1000,0.17452667814113598,0.16810344827586207,0.17125485559871642,0.7305933429811867,507,2398,2509,1000,0,993,609,7,"{""invalid_json"": 7}","{""invalid_label"": 16, ""out_of_range_indices"": 54, ""text_mismatch"": 709}","{""length"": 7, ""stop"": 993}","{""boundary_and_label_error"": 289, ""boundary_error"": 428, ""label_error"": 159, ""missing_entity"": 1633, ""rejected_prediction"": 779, ""spurious_prediction"": 743}",649.8340009829994,481.9529605,1207.3503246,1596.0428008999997,2839.7407335099997,1.538854535908104,exact_token_span_v1,localhost_http_batch1_concurrency1_v1
completed,llm_http,gemma-3-4b-it,gpu,cuda,,,three-shot,1771,1000,0.11895302640803926,0.16876657824933686,0.13954763536668952,0.7040810419681621,509,3770,2507,1000,0,986,254,14,"{""invalid_json"": 14}","{""invalid_label"": 13, ""missing_fields"": 2, ""out_of_range_indices"": 56, ""text_mismatch"": 2066}","{""length"": 14, ""stop"": 986}","{""boundary_and_label_error"": 241, ""boundary_error"": 272, ""label_error"": 197, ""missing_entity"": 1797, ""rejected_prediction"": 2137, ""spurious_prediction"": 923}",936.293645665,801.2612165,1720.2251716,2201.7971100499994,3172.9513062,1.0680409982807826,exact_token_span_v1,localhost_http_batch1_concurrency1_v1
completed,llm_http,gemma-3-4b-it,gpu,cuda,,,three-shot,2401,1000,0.13107996702390767,0.21087533156498675,0.16166751398068127,0.6931982633863966,636,4216,2380,1000,0,969,212,31,"{""invalid_json"": 31}","{""duplicate_prediction"": 2, ""invalid_label"": 77, ""out_of_range_indices"": 66, ""text_mismatch"": 2152}","{""length"": 31, ""stop"": 969}","{""boundary_and_label_error"": 249, ""boundary_error"": 222, ""label_error"": 220, ""missing_entity"": 1689, ""rejected_prediction"": 2297, ""spurious_prediction"": 1228}",1095.7435601880009,871.968447,2044.3527185,2545.1081795999985,3166.9992385200003,0.9126222925995807,exact_token_span_v1,localhost_http_batch1_concurrency1_v1
completed,llm_http,gemma-3-4b-it,gpu,cuda,,,three-shot,42,1000,0.21422523285351397,0.251657824933687,0.23143771916450678,0.7303039073806078,759,2784,2257,1000,0,992,536,8,"{""invalid_json"": 8}","{""invalid_label"": 17, ""missing_fields"": 1, ""out_of_range_indices"": 15, ""text_mismatch"": 849}","{""length"": 8, ""stop"": 992}","{""boundary_and_label_error"": 337, ""boundary_error"": 405, ""label_error"": 217, ""missing_entity"": 1298, ""rejected_prediction"": 882, ""spurious_prediction"": 943}",773.8801173410003,617.974253,1461.0416868000002,1795.35644605,2978.611495819999,1.2921898076874392,exact_token_span_v1,localhost_http_batch1_concurrency1_v1
