status,approach,model_slug,device_profile,prompt_strategy,seed,component,count,mean_ms,median_ms,p90_ms,p95_ms,p99_ms,min_ms,max_ms
completed,llm_http,aya-expanse-8b,gpu,three-shot,2401,client_output_tokens_per_second,1000,71.41395358883338,71.92801040950448,73.29750290500749,73.48895314117716,73.67031567749589,38.0387193689979,73.6961437865195
completed,llm_http,aya-expanse-8b,gpu,three-shot,2401,client_ttft,1000,75.50804581699995,78.08264750000001,79.37727530000001,82.31764395,83.1473968,63.166212,84.150381
completed,llm_http,aya-expanse-8b,gpu,three-shot,2401,server_decode,0,,,,,,,
completed,llm_http,aya-expanse-8b,gpu,three-shot,2401,server_generation,0,,,,,,,
completed,llm_http,aya-expanse-8b,gpu,three-shot,2401,server_inference,0,,,,,,,
completed,llm_http,aya-expanse-8b,gpu,three-shot,2401,server_mean_itl,0,,,,,,,
completed,llm_http,aya-expanse-8b,gpu,three-shot,2401,server_prefill,0,,,,,,,
completed,llm_http,aya-expanse-8b,gpu,three-shot,2401,server_queue,0,,,,,,,
completed,llm_http,aya-expanse-8b,gpu,three-shot,2401,server_tokens_per_second,0,,,,,,,
completed,llm_http,aya-expanse-8b,gpu,three-shot,2401,server_ttft,0,,,,,,,
completed,llm_http,aya-expanse-8b,gpu,three-shot,42,client_e2e,1000,1736.4211431220012,1409.3824559999998,3378.6696358,4176.09449315,5230.19561521,135.187264,5233.34755
completed,llm_http,aya-expanse-8b,gpu,three-shot,42,client_generation_after_first_token,1000,1652.5321109799993,1326.1560279999999,3288.6397592,4091.18832285,5140.101481920001,51.8819,5142.407362999999
completed,llm_http,aya-expanse-8b,gpu,three-shot,42,client_output_tokens_per_second,1000,69.95964025669812,70.95663341104984,72.97395560870827,73.2587733616177,73.4403246444194,34.748705079080615,73.55573396805312
completed,llm_http,aya-expanse-8b,gpu,three-shot,42,client_ttft,1000,83.88903214199995,83.303522,89.41685229999999,89.7866394,90.68612019999999,75.00624,91.201352
completed,llm_http,aya-expanse-8b,gpu,three-shot,42,server_decode,0,,,,,,,
completed,llm_http,aya-expanse-8b,gpu,three-shot,42,server_generation,0,,,,,,,
completed,llm_http,aya-expanse-8b,gpu,three-shot,42,server_inference,0,,,,,,,
completed,llm_http,aya-expanse-8b,gpu,three-shot,42,server_mean_itl,0,,,,,,,
completed,llm_http,aya-expanse-8b,gpu,three-shot,42,server_prefill,0,,,,,,,
completed,llm_http,aya-expanse-8b,gpu,three-shot,42,server_queue,0,,,,,,,
completed,llm_http,aya-expanse-8b,gpu,three-shot,42,server_tokens_per_second,0,,,,,,,
completed,llm_http,aya-expanse-8b,gpu,three-shot,42,server_ttft,0,,,,,,,
completed,llm_http,aya-expanse-8b,gpu,zero-shot,fixed,client_e2e,1000,1747.331284127002,1687.2189250000001,2960.4195673000004,3509.253120349999,5176.47616715,144.407028,5196.580578
completed,llm_http,aya-expanse-8b,gpu,zero-shot,fixed,client_generation_after_first_token,1000,1703.3931062609988,1641.8219064999998,2914.9011441000002,3458.031717899999,5132.828752830001,106.05763200000001,5144.469233
completed,llm_http,aya-expanse-8b,gpu,zero-shot,fixed,client_output_tokens_per_second,1000,73.1151819866552,73.45912961930894,74.02676619607287,74.09349513889394,74.21842384409013,59.90579135377317,74.33250542014046
completed,llm_http,aya-expanse-8b,gpu,zero-shot,fixed,client_ttft,1000,43.93817786600006,44.0763375,48.2084088,51.686037649999996,52.21937676,33.30478,53.541694
completed,llm_http,aya-expanse-8b,gpu,zero-shot,fixed,server_decode,0,,,,,,,
completed,llm_http,aya-expanse-8b,gpu,zero-shot,fixed,server_generation,0,,,,,,,
completed,llm_http,aya-expanse-8b,gpu,zero-shot,fixed,server_inference,0,,,,,,,
completed,llm_http,aya-expanse-8b,gpu,zero-shot,fixed,server_mean_itl,0,,,,,,,
completed,llm_http,aya-expanse-8b,gpu,zero-shot,fixed,server_prefill,0,,,,,,,
completed,llm_http,aya-expanse-8b,gpu,zero-shot,fixed,server_queue,0,,,,,,,
completed,llm_http,aya-expanse-8b,gpu,zero-shot,fixed,server_tokens_per_second,0,,,,,,,
completed,llm_http,aya-expanse-8b,gpu,zero-shot,fixed,server_ttft,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,one-shot,1771,client_e2e,1000,1611.5504211140008,1227.8413165000002,3250.7506111000007,4132.2770756,5489.3074907499995,138.049397,7972.039293
completed,llm_http,gemma-3-12b-it,gpu,one-shot,1771,client_generation_after_first_token,1000,1529.0278131699997,1148.329006,3155.013928800001,4038.04530415,5414.45885461,79.74098300000001,7897.287259
completed,llm_http,gemma-3-12b-it,gpu,one-shot,1771,client_output_tokens_per_second,1000,44.657922564101696,46.63069502366446,47.65969622314378,47.795803054645084,47.96375369410244,28.315375061777065,48.16835264938778
completed,llm_http,gemma-3-12b-it,gpu,one-shot,1771,client_ttft,1000,82.522607944,83.640905,93.97081940000001,95.07783805000001,96.24801381999998,56.679726,98.191343
completed,llm_http,gemma-3-12b-it,gpu,one-shot,1771,server_decode,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,one-shot,1771,server_generation,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,one-shot,1771,server_inference,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,one-shot,1771,server_mean_itl,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,one-shot,1771,server_prefill,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,one-shot,1771,server_queue,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,one-shot,1771,server_tokens_per_second,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,one-shot,1771,server_ttft,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,one-shot,2401,client_e2e,1000,1586.4016296560014,1247.721293,3183.7232435,3976.8931092999987,5570.301762049999,153.978901,7976.136561
completed,llm_http,gemma-3-12b-it,gpu,one-shot,2401,client_generation_after_first_token,1000,1496.3800555159992,1151.949644,3088.9914573000005,3879.6345328999987,5472.087024089998,80.120235,7891.527542
completed,llm_http,gemma-3-12b-it,gpu,one-shot,2401,client_output_tokens_per_second,1000,43.93665148447033,46.151424959239236,47.437510126252825,47.582885772683966,47.804233024365956,26.48452222538995,48.143609009605065
completed,llm_http,gemma-3-12b-it,gpu,one-shot,2401,client_ttft,1000,90.02157414000001,93.59118749999999,96.8235836,97.86942225,105.50120903999999,71.668681,106.97213
completed,llm_http,gemma-3-12b-it,gpu,one-shot,2401,server_decode,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,one-shot,2401,server_generation,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,one-shot,2401,server_inference,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,one-shot,2401,server_mean_itl,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,one-shot,2401,server_prefill,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,one-shot,2401,server_queue,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,one-shot,2401,server_tokens_per_second,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,one-shot,2401,server_ttft,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,one-shot,42,client_e2e,1000,1672.1342805620004,1180.515326,3512.4285967,4589.406708299999,6100.13770134,153.266449,8031.488186
completed,llm_http,gemma-3-12b-it,gpu,one-shot,42,client_generation_after_first_token,1000,1584.3561130709963,1089.6664865,3419.0468022000005,4493.4599286,6003.80071314,80.077978,7924.860455
completed,llm_http,gemma-3-12b-it,gpu,one-shot,42,client_output_tokens_per_second,1000,44.36433519641032,46.07880976379492,47.60194558705538,47.752301817028034,47.91256851870316,26.738922079288958,48.06638329174903
completed,llm_http,gemma-3-12b-it,gpu,one-shot,42,client_ttft,1000,87.77816749099993,85.1374945,96.2265217,97.05217569999999,98.36474027999999,71.137171,106.627731
completed,llm_http,gemma-3-12b-it,gpu,one-shot,42,server_decode,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,one-shot,42,server_generation,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,one-shot,42,server_inference,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,one-shot,42,server_mean_itl,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,one-shot,42,server_prefill,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,one-shot,42,server_queue,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,one-shot,42,server_tokens_per_second,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,one-shot,42,server_ttft,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,three-shot,1771,client_e2e,1000,1688.6657358160019,1296.7566769999999,3322.4681914000007,4051.9873372999996,5390.598546889999,193.217624,8117.491441
completed,llm_http,gemma-3-12b-it,gpu,three-shot,1771,client_generation_after_first_token,1000,1551.868511818,1159.579498,3182.4412855000005,3910.0231516499994,5259.424280789999,80.255356,7966.204902
completed,llm_http,gemma-3-12b-it,gpu,three-shot,1771,client_output_tokens_per_second,1000,42.00755692091763,44.244425058591936,46.41642101643218,46.71326754066243,47.001182145914086,21.167755469682394,47.305254682559266
completed,llm_http,gemma-3-12b-it,gpu,three-shot,1771,client_ttft,1000,136.79722399799985,138.3616265,142.0131529,151.62536659999998,153.45915237,110.449172,156.882224
completed,llm_http,gemma-3-12b-it,gpu,three-shot,1771,server_decode,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,three-shot,1771,server_generation,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,three-shot,1771,server_inference,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,three-shot,1771,server_mean_itl,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,three-shot,1771,server_prefill,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,three-shot,1771,server_queue,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,three-shot,1771,server_tokens_per_second,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,three-shot,1771,server_ttft,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,three-shot,2401,client_e2e,1000,1840.7597015799993,1631.3577854999999,3583.0931380000006,4248.6701299999995,5662.127483109999,179.231906,7554.349973
completed,llm_http,gemma-3-12b-it,gpu,three-shot,2401,client_generation_after_first_token,1000,1721.4061913170024,1510.6432415,3462.2596815000006,4112.2148146499985,5523.24146626,80.31120800000001,7416.931885
completed,llm_http,gemma-3-12b-it,gpu,three-shot,2401,client_output_tokens_per_second,1000,42.70176081049515,45.48203843955978,46.90332173508628,47.06992776025774,47.28106360185072,22.6184284287987,47.45684844883515
completed,llm_http,gemma-3-12b-it,gpu,three-shot,2401,client_ttft,1000,119.35351026299985,119.50662349999999,127.48600640000001,137.72185274999998,139.51622977,97.267681,141.75039
completed,llm_http,gemma-3-12b-it,gpu,three-shot,2401,server_decode,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,three-shot,2401,server_generation,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,three-shot,2401,server_inference,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,three-shot,2401,server_mean_itl,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,three-shot,2401,server_prefill,0,,,,,,,
completed,llm_http,gemma-3-12b-it,gpu,three-shot,2401,server_queue,0,,,,,,,
